search_string,canonical_term,l1_category,l2_category,emerging_score,confidence,passed_gates,m0_volume,mom_search_growth,mom_sales_growth,availability_pct,demand_gap,typed_pct,trend_stability_score,seasonality_flag,tags
cetaphil,cetaphil,bath body and hair,face wash and scrub,39.86,Medium,False,182070.0,2.77,0.0,87.25,6203.3,8.56,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
plum,plum,bath body and hair,face cream,39.86,Medium,False,23937.0,0.0,0.0,78.65,282142.76,17.74,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
cetaphil face wash,cetaphil face wash,bath body and hair,face wash and scrub,39.86,Medium,False,10456.0,2.69,0.0,87.25,6203.3,11.31,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
hair colour,hair colour,beauty and grooming,hair colour,39.85,Medium,False,165396.0,1.52,0.0,76.6,94342.32,11.66,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
lip gloss,lip gloss,makeup,lip makeup,39.85,Medium,False,86369.0,2.53,0.0,88.47,8747.92,14.88,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
vitamin c,vitamin c,beauty and grooming,face and lip care,39.82,Medium,False,21280.0,1.28,0.0,66.05,54260.38,13.51,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
pimple patch,pimple patch,beauty and grooming,face and lip care,39.79,Medium,False,111862.0,0.52,0.0,66.05,54260.38,13.82,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
pilgrim,pilgrim,beauty and grooming,face and lip care,39.76,Medium,False,13711.0,0.0,0.0,66.05,54260.38,9.86,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
foxtale,foxtale,bath body and hair,face and lip care,39.76,Medium,False,13662.0,0.0,0.0,66.05,54260.38,9.24,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
himalaya face wash,himalaya face wash,bath body and hair,face wash and scrub,39.75,Medium,False,20414.0,0.22,0.0,87.25,6203.3,13.23,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
kiro,kiro,makeup,lip makeup,39.75,Medium,False,10264.0,0.0,0.0,88.47,8747.92,13.55,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
mysore sandal,mysore sandal,bath body and hair,soap,39.14,Medium,False,72969.0,-14.86,0.0,70.67,13484791.84,8.71,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
dandruff shampoo,dandruff shampoo,bath body and hair,shampoo and conditioner,38.77,Medium,False,10740.0,-6.66,0.0,73.18,25957139.62,10.11,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
bombay shaving company,bombay shaving company,beauty and grooming,shaving needs,37.76,Medium,False,15982.0,-4.05,0.0,70.32,4761087.74,9.19,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
lens,lens,hygiene and wellness,basic pharma,36.31,Medium,False,11711.0,-10.78,0.0,61.57,20346291.32,14.2,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
razor for women,razor for women,beauty and grooming,hair removal,36.26,Medium,False,15425.0,-50.5,0.0,69.71,5983529.01,9.93,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
vicks,vicks,hygiene and wellness,basic pharma,36.04,Medium,False,136019.0,-16.95,0.0,61.57,20346291.32,14.67,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
mask,mask,hygiene and wellness,basic pharma,35.98,Medium,False,98637.0,-18.5,0.0,61.57,20346291.32,20.44,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
cotton,cotton,makeup,makeup brushes and tools,35.47,Medium,False,29001.0,-52.55,0.0,56.77,4271526.83,15.34,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
paradyes,paradyes,beauty and grooming,hair colour,35.4,Medium,False,19797.0,-14.57,0.0,76.6,94342.32,14.79,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
perfume,perfumes,bath body and hair,"perfumes, deos and talc",35.06,Medium,False,127260.0,-21.58,0.0,100,0.0,16.73,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
perfumes,perfumes,bath body and hair,"perfumes, deos and talc",34.86,Medium,False,171633.0,-26.36,0.0,100,0.0,11.54,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
nail polish,nail polish,makeup,nail paints and accessories,34.63,Medium,False,45761.0,-41.37,0.0,71.65,1024308.65,10.15,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
pilgrim,pilgrim,bath body and hair,face and lip care,34.48,Medium,False,17281.0,-35.53,0.0,66.05,54260.38,9.86,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
moisturizer,moisturizer,bath body and hair,body lotion,34.23,Medium,False,137526.0,-44.33,0.0,84.79,359436.93,9.41,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
nivea moisturizer,nivea moisturizer,bath body and hair,face cream,33.66,Medium,False,24693.0,-56.81,0.0,78.65,282142.76,8.87,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
bella vita,bella vita,bath body and hair,"perfumes, deos and talc",33.41,Medium,False,22303.0,-60.1,0.0,100,0.0,8.22,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
n95 mask,n95 mask,hygiene and wellness,basic pharma,33.28,Medium,False,13866.0,-81.17,0.0,61.57,20346291.32,16.98,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
plum,plum,bath body and hair,fruits,33.25,Medium,False,33716.0,-63.67,0,100,0.0,17.74,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
perfume men,perfume men,bath body and hair,"perfumes, deos and talc",33.2,Medium,False,19527.0,-64.88,0.0,100,0.0,7.06,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
rose water,rose water,beauty and grooming,gift packs,32.98,Medium,False,13371.0,-70.41,0.0,84.86,56257.07,15.78,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
gift for men,gift for men,bath body and hair,"perfumes, deos and talc",32.66,Medium,False,20459.0,-77.32,0.0,100,0.0,21.6,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
shower gel,shower gel,bath body and hair,shower gel,31.0,Medium,False,56241.0,-14.69,0.0,76.01,7704801.8,16.05,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
face razor,face razor,beauty and grooming,hair removal,30.9,Medium,False,58192.0,-0.69,0.0,69.71,5983529.01,16.67,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
parachute,parachute,bath body and hair,hair oil and serum,30.87,Medium,False,95983.0,-1.11,0.0,83.02,5945372.95,9.22,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
hair removal,hair removal,beauty and grooming,hair removal,30.87,Medium,False,20552.0,-1.44,0.0,69.71,5983529.01,7.82,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
almond oil,almond oil,bath body and hair,hair oil and serum,30.8,Medium,False,24200.0,-2.47,0.0,83.02,5945372.95,14.02,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
razor,razor,beauty and grooming,hair removal,30.68,Medium,False,113500.0,-5.66,0.0,69.71,5983529.01,17.54,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
sanitizer,sanitizer,hygiene and wellness,hand wash and sanitizer,30.36,Medium,False,74943.0,-3.71,0.0,78.04,4993263.34,11.08,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
nail cutter,nail cutter,makeup,makeup brushes and tools,30.17,Medium,False,83706.0,-1.3,0.0,56.77,4271526.83,11.35,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
hair removal spray,hair removal spray,beauty and grooming,hair removal,29.36,Medium,False,10491.0,-36.52,0.0,69.71,5983529.01,14.29,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
blush,blush,makeup,face makeup,28.87,Medium,False,20335.0,-0.42,0.0,75.53,985183.97,20.38,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
concealer,concealer,makeup,face makeup,28.81,Medium,False,26024.0,-1.9,0.0,75.53,985183.97,13.57,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
spray bottle,spray bottle,makeup,makeup brushes and tools,28.64,Medium,False,14073.0,-36.9,0.0,56.77,4271526.83,20.09,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
derma roller,derma roller,beauty and grooming,mens grooming,28.56,Medium,False,15156.0,-0.25,0.0,55.13,194003.13,11.5,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
pond's,pond's,bath body and hair,"perfumes, deos and talc",28.46,Medium,False,14494.0,-0.6,0.0,100,0.0,11.71,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
cetaphil moisturiser,cetaphil moisturiser,bath body and hair,body lotion,28.45,Medium,False,27295.0,-4.33,0.0,84.79,359436.93,8.94,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
hair wax,hair wax,beauty and grooming,mens grooming,28.45,Medium,False,18810.0,-2.85,0.0,55.13,194003.13,11.36,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
dot and key,dot and key,bath body and hair,face cream,28.41,Medium,False,16450.0,-4.45,0.0,78.65,282142.76,12.9,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
face cream,face cream,bath body and hair,face cream,28.39,Medium,False,25006.0,-5.04,0.0,78.65,282142.76,13.68,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
lip tint,lip tint,makeup,lip makeup,28.39,Medium,False,13802.0,-2.51,0.0,88.47,8747.92,10.71,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
eyeliner,eyeliner,makeup,eye makeup,28.37,Medium,False,73478.0,-2.87,0.0,74.85,14592.04,13.51,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
mars lipstick,mars lipstick,makeup,lip makeup,28.32,Medium,False,18680.0,-4.16,0.0,88.47,8747.92,11.61,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
mirror,mirror,makeup,makeup brushes and tools,28.3,Medium,False,32508.0,-40.12,0.0,56.77,4271526.83,14.6,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
deos,deos,bath body and hair,"perfumes, deos and talc",28.28,Medium,False,11292.0,-4.96,0.0,100,0.0,14.38,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
hair spray,hair spray,beauty and grooming,mens grooming,28.17,Medium,False,14742.0,-9.24,0.0,55.13,194003.13,13.77,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
mamaearth,mamaearth,bath body and hair,face wash and scrub,28.17,Medium,False,14160.0,-7.54,0.0,87.25,6203.3,4.14,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
lipstick,lipstick,makeup,lip makeup,28.16,Medium,False,173198.0,-7.88,0.0,88.47,8747.92,13.17,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
renee,renee,makeup,eye makeup,28.13,Medium,False,12970.0,-8.54,0.0,74.85,14592.04,16.32,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
lipbalm,lipbalm,beauty and grooming,face and lip care,28.07,Medium,False,12581.0,-10.38,0.0,66.05,54260.38,12.37,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
press on nails,press on nails,makeup,nail paints and accessories,27.98,Medium,False,14485.0,-21.68,0.0,71.65,1024308.65,14.05,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
face mask,face mask,beauty and grooming,face and lip care,27.96,Medium,False,138886.0,-12.75,0.0,66.05,54260.38,17.37,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
nose strip,nose strip,beauty and grooming,face and lip care,27.81,Medium,False,13557.0,-16.24,0.0,66.05,54260.38,12.07,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
nails,nails,makeup,nail paints and accessories,27.79,Medium,False,14492.0,-25.88,0.0,71.65,1024308.65,22.15,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
minimalist,minimalist,bath body and hair,face wash and scrub,27.73,Medium,False,43263.0,-17.77,0.0,87.25,6203.3,11.26,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
hand cream,hand cream,bath body and hair,face cream,27.7,Medium,False,12150.0,-21.14,0.0,78.65,282142.76,26.63,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
bb cream,bb cream,bath body and hair,face cream,27.67,Medium,False,11333.0,-21.86,0.0,78.65,282142.76,20.96,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
nivea,nivea,bath body and hair,body lotion,27.58,Medium,False,69293.0,-24.64,0.0,84.79,359436.93,11.15,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
body lotion,body lotion,bath body and hair,body lotion,27.49,Medium,False,274799.0,-26.76,0.0,84.79,359436.93,12.25,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
glycerine,glycerine,beauty and grooming,face and lip care,27.48,Medium,False,16917.0,-24.07,0.0,66.05,54260.38,13.06,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
lip balm,lip balm,beauty and grooming,face and lip care,27.47,Medium,False,308826.0,-24.18,0.0,66.05,54260.38,13.85,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
vaseline,vaseline,bath body and hair,body lotion,27.41,Medium,False,141291.0,-28.61,0.0,84.79,359436.93,11.34,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
body oil,body oil,bath body and hair,body lotion,26.93,Medium,False,22108.0,-39.68,0.0,84.79,359436.93,16.24,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
foxtale,foxtale,beauty and grooming,face and lip care,26.82,Medium,False,13175.0,-39.44,0.0,66.05,54260.38,9.24,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
face moisturizer,face moisturizer,bath body and hair,face cream,26.73,Medium,False,30958.0,-43.52,0.0,78.65,282142.76,10.44,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
vaseline lip,vaseline lip,beauty and grooming,face and lip care,25.59,Medium,False,11450.0,-68.02,0.0,66.05,54260.38,12.2,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
boroline,boroline,bath body and hair,face cream,25.44,Medium,False,65188.0,-43.41,0.0,78.65,282142.76,12.24,0.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
sebamed,sebamed,bath body and hair,shampoo and conditioner,8.86,Medium,False,17975.0,5.8,0.0,73.18,25957139.62,13.92,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
